,Place ID,Place Name
236,ChIJ0Zwj5CLTGIgRkeQ1OYnoEaU,Ferris State University
237,ChIJ0Zwj5CLTGIgRkeQ1OYnoEaU,Ferris State University
238,ChIJ0Zwj5CLTGIgRkeQ1OYnoEaU,Ferris State University
239,ChIJ0Zwj5CLTGIgRkeQ1OYnoEaU,Ferris State University
240,ChIJ0Zwj5CLTGIgRkeQ1OYnoEaU,Ferris State University
241,ChIJ0Zwj5CLTGIgRkeQ1OYnoEaU,Ferris State University
242,ChIJ0Zwj5CLTGIgRkeQ1OYnoEaU,Ferris State University
243,ChIJ0Zwj5CLTGIgRkeQ1OYnoEaU,Ferris State University
244,ChIJ0Zwj5CLTGIgRkeQ1OYnoEaU,Ferris State University
245,ChIJqaVfqaXIQIYRf8PTc49aphc,Lone Star College-Houston North Victory
246,ChIJ1aG_sY2tJIgRE4F59N3bfQo,Schoolcraft College
247,ChIJZQjOJZ6zJIgRMrDiyI1aFZw,Metro by T-Mobile
248,ChIJI3Ttekg3R4YR2o6zrg8B7pg,University Center at LSC-Montgomery
249,ChIJYfduP__HEIgR0u3goTlVhfg,Progress 2 Success
250,ChIJl4U308JFNU0Rpa_AM-nSPy0,Kirtland Community College - Gaylord
251,ChIJM-LFS-qCI4gRFG4YdXfvtA8,Flint Institute of Barbering
252,ChIJsQb4qKGBGYgRW6LeKWGceUs,French Academy of Cosmetology
253,ChIJcysrr5V_O4gRj8Wf6PUMNWk,Monroe County Community College - Whitman Center
254,ChIJ9dFnNJyaGIgRFVvGgBjFy3A,Montcalm Area Career Center
255,ChIJgxtTy8lNO4gRmNkbrrhOs28,Radcliff Center - City of Garden City
256,ChIJdUJJ2_ezJIgRAcJOs0q1RTk,Schoolcraft College Manufacturing & Engineering Center
257,ChIJpwqZi9_FJIgRRoXRhtIlvOA,Elevate Salon Institute
258,ChIJpwqZi9_FJIgRRoXRhtIlvOA,Elevate Salon Institute
259,ChIJD6JKJK2vJIgRqFTSbpjVkeU,Walsh
260,ChIJWfES3AzEJIgRVB9os6j0CRQ,Walsh College
261,ChIJ0bB15CTKJIgRGv62hpnZ_j8,Wayne County Community College District
262,ChIJ0bB15CTKJIgRGv62hpnZ_j8,Wayne County Community College District
263,ChIJ0bB15CTKJIgRGv62hpnZ_j8,Wayne County Community College District
264,ChIJ45iZ_B3KJIgRpS7qHcEQbBQ,Digital Labor Studios
265,ChIJNzy7F8nNSYYRVf_8yuHTR2o,Clarkston Elementary School
266,ChIJMX5McinIJIgR1yFZQAfXcyU,Lawrence Technological University
267,ChIJMX5McinIJIgR1yFZQAfXcyU,Lawrence Technological University
268,ChIJMX5McinIJIgR1yFZQAfXcyU,Lawrence Technological University
269,ChIJMX5McinIJIgR1yFZQAfXcyU,Lawrence Technological University
270,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
271,ChIJMX5McinIJIgR1yFZQAfXcyU,Lawrence Technological University
272,ChIJMX5McinIJIgR1yFZQAfXcyU,Lawrence Technological University
273,ChIJxcS-UxjMJIgRUNG5H54WsCQ,Metro Detroit Barber College
274,ChIJfalPrW81O4gR3kemLQ_Izpw,Henry Ford College
275,ChIJfalPrW81O4gR3kemLQ_Izpw,Henry Ford College
276,ChIJfSGoG0GdF4gRQYbnL_OPhUE,KVCC Arcadia Commons Campus
277,ChIJ687jWhSdF4gRB8dzkZ-M86s,Kalamazoo Valley Culinary/Allied Health Building
278,ChIJH0ze8RKdF4gRsRk8wPNdnfM,Food Innovation Center
279,ChIJ-6Y6tjbPEIgRvamfG_C1KxM,Lake Michigan College
